contrast_0,homogeneity_0,correlation_0,energy_0,h_mean,s_mean,v_mean,target,label
145.33924623115576,0.8504621307036953,0.8340260795786172,0.16901306984173992,102.019578,6.076716,239.601118,0,Skala0
184.50952562814072,0.8139705538625397,0.9179250223399389,0.17320573748082174,107.860592,49.0718,219.021018,0,Skala0
220.0241145728643,0.8052443202598848,0.862426424544408,0.13521205989250826,107.70769,42.995309,214.469718,0,Skala0
360.1249969849246,0.7931178926843111,0.7740488813170113,0.20492055634505618,111.50719,21.193654,218.849183,0,Skala0
139.91664120603016,0.7759638741107985,0.838576201918886,0.16243081280272487,108.038949,60.611979,215.771037,0,Skala0
230.51297889447238,0.7782147355024511,0.8815200350012703,0.1636998082220596,106.80822,59.647382,222.083563,0,Skala0
234.96033165829147,0.7844077526194909,0.8804441322564178,0.13016244898269858,107.996451,29.738549,208.407406,0,Skala0
253.68327839195976,0.8785007721834789,0.8580321932631317,0.19164346200530968,113.056509,21.169357,244.715136,0,Skala0
288.41402713567845,0.8167759814968478,0.855796573949546,0.13356711189875756,109.892129,19.040806,213.416729,0,Skala0
314.6167336683417,0.8781710830870662,0.807568892271287,0.2020481304104258,114.022731,23.685361,239.686348,0,Skala0
285.31186733668346,0.858837523533707,0.6920660668640057,0.36692977066681426,112.455944,16.323041,243.537488,0,Skala0
217.14381708542712,0.8537392955543257,0.868230211333339,0.13230975241674817,110.050391,15.601912,221.263181,0,Skala0
381.35239597989954,0.822833701185304,0.7873148299799325,0.19301248806221313,111.560365,29.562976,222.175574,0,Skala0
309.92324924623114,0.7854476858899502,0.8402019946935088,0.10768100051200247,109.506945,19.164972,217.255343,0,Skala0
262.4655608040201,0.8168057033973827,0.7971714898570275,0.13848573394067798,110.399462,19.919798,228.673158,0,Skala0
290.221240201005,0.8006940897109325,0.8215110566494708,0.14539627023273663,115.066169,26.036258,219.686841,0,Skala0
348.455991959799,0.8572661780035772,0.7355045917900225,0.3508152750885049,112.010511,20.469913,234.281629,0,Skala0
332.5580361809045,0.9167326934319521,0.7754826793540218,0.27924369866907056,107.34392,21.407049,241.985929,0,Skala0
212.81926934673368,0.8722817103954434,0.8639657959487071,0.17183182317654477,112.94951,19.606555,224.283399,0,Skala0
348.7936482412061,0.8755897607981091,0.8164319543293431,0.1929625565442038,110.143423,15.665787,224.898421,0,Skala0
411.8363015075377,0.8234578131603126,0.7935359865363437,0.14898357514670316,109.366548,32.911915,223.534587,0,Skala0
247.9473015075377,0.8773458144781745,0.7439646215307613,0.3261988440978299,107.894726,33.286739,242.110873,0,Skala0
