contrast_90,homogeneity_90,correlation_90,energy_90,h_mean,s_mean,v_mean,target,label
200.3215738693467,0.8283358552690974,0.7711716666380901,0.16347538258278557,102.019578,6.076716,239.601118,0,Skala0
62.84425125628141,0.8335099482385826,0.9720542108776576,0.17712993099197233,107.860592,49.0718,219.021018,0,Skala0
80.89452160804021,0.8059187043364519,0.9494249394726557,0.13519140072291394,107.70769,42.995309,214.469718,0,Skala0
189.99308844221105,0.7932170512728253,0.88072863840322,0.20683322416409727,111.50719,21.193654,218.849183,0,Skala0
123.93494974874372,0.7706992254557388,0.8569774213861022,0.16256035095413257,108.038949,60.611979,215.771037,0,Skala0
141.63460100502513,0.7897889948578707,0.9271883409409024,0.16685165704965488,106.80822,59.647382,222.083563,0,Skala0
194.92809447236178,0.7981995408015681,0.9008473415575248,0.13316597831223276,107.996451,29.738549,208.407406,0,Skala0
72.40557286432161,0.8392018570821822,0.9594398002302852,0.1800258916464221,113.056509,21.169357,244.715136,0,Skala0
126.6553728643216,0.74118610753373,0.9366016257121044,0.11827538429930466,109.892129,19.040806,213.416729,0,Skala0
88.89672261306531,0.840600249572447,0.9455931548020718,0.19124291176992636,114.022731,23.685361,239.686348,0,Skala0
125.04933768844221,0.8633246173369578,0.8649961184488182,0.3675765771979259,112.455944,16.323041,243.537488,0,Skala0
112.16640703517587,0.7902845524041635,0.9318216957850398,0.1176950830597867,110.050391,15.601912,221.263181,0,Skala0
202.4027296482412,0.7960211994305729,0.887109126205484,0.18461241189227012,111.560365,29.562976,222.175574,0,Skala0
97.32688743718593,0.7267551374214469,0.9497318254309821,0.09749768827106395,109.506945,19.164972,217.255343,0,Skala0
142.76228944723618,0.7823182258639845,0.8895586844073209,0.12885388423417937,110.399462,19.919798,228.673158,0,Skala0
87.12588944723619,0.7838168970042886,0.9463499865792937,0.14329232132347125,115.066169,26.036258,219.686841,0,Skala0
241.5849889447236,0.8503609988366079,0.8166388001114602,0.34692732026874123,112.010511,20.469913,234.281629,0,Skala0
65.24490150753769,0.9162599983250478,0.9559634596969457,0.2779626433138149,107.34392,21.407049,241.985929,0,Skala0
123.04726432160804,0.8223456160150147,0.9212555709450583,0.15904508970280015,112.94951,19.606555,224.283399,0,Skala0
214.3764944723618,0.8812203569586121,0.8871884099691251,0.19417434089173802,110.143423,15.665787,224.898421,0,Skala0
174.85851859296483,0.8253528953748728,0.9123527479366775,0.14786939096009533,109.366548,32.911915,223.534587,0,Skala0
217.11630452261306,0.8699461430546171,0.7758675990965247,0.3232029701708735,107.894726,33.286739,242.110873,0,Skala0
