sumValue,contrast,homogeneity,ASM,energy,hue,saturaton,value,target,class
78.38367176906169,16.656466466466465,0.9382952968932857,0.03733757817877938,0.1932293408848133,102.019578,6.076716,239.601118,0,Skala0
78.38367176906169,21.848997997997994,0.9162693003700434,0.041865504944383826,0.20461061786814444,107.860592,49.0718,219.021018,0,Skala0
78.38367176906169,21.972523523523524,0.9143824130779147,0.026455300742183625,0.16265085533800192,107.70769,42.995309,214.469718,0,Skala0
78.38367176906169,53.700931931931926,0.9062718179471196,0.05869331118505893,0.24226702455154506,111.50719,21.193654,218.849183,0,Skala0
78.38367176906169,21.086079079079077,0.9050313813085136,0.04159741860378897,0.2039544522774361,108.038949,60.611979,215.771037,0,Skala0
78.38367176906169,28.419563563563564,0.8955272980258485,0.03929421623224826,0.19822768785477032,106.80822,59.647382,222.083563,0,Skala0
78.38367176906169,28.997845845845845,0.9022351705311901,0.02544655294934574,0.15951975723823597,107.996451,29.738549,208.407406,0,Skala0
78.38367176906169,28.70054454454454,0.9456038271003308,0.043254270847424,0.20797661129902084,113.056509,21.169357,244.715136,0,Skala0
78.38367176906169,34.01404804804805,0.9191090110803101,0.02354678857235614,0.15344962877881504,109.892129,19.040806,213.416729,0,Skala0
78.38367176906169,40.32464464464465,0.9439733122322088,0.047843226660093524,0.218730945821787,114.022731,23.685361,239.686348,0,Skala0
78.38367176906169,40.759929929929925,0.9342376104829261,0.17113575543110676,0.4136855755656786,112.455944,16.323041,243.537488,0,Skala0
78.38367176906169,25.28390990990991,0.9386904294137095,0.022525506932357782,0.15008499902507838,110.050391,15.601912,221.263181,0,Skala0
78.38367176906169,51.840822822822815,0.9180968658104617,0.0470789870250631,0.21697692740257685,111.560365,29.562976,222.175574,0,Skala0
78.38367176906169,33.72449049049049,0.9108818483537888,0.01743337040744448,0.13203548919682345,109.506945,19.164972,217.255343,0,Skala0
78.38367176906169,33.11260960960961,0.9180267492492858,0.02683835113792471,0.16382414699281883,110.399462,19.919798,228.673158,0,Skala0
78.38367176906169,38.025906906906904,0.9138465798769617,0.03142076319362405,0.17725902852499234,115.066169,26.036258,219.686841,0,Skala0
78.38367176906169,45.62829629629629,0.9371167326328482,0.15106702680057435,0.3886734192102341,112.010511,20.469913,234.281629,0,Skala0
